Puzzle: 6 hard
Amount: 100
Result details: ./Result/F_reverse_learning_init_population.csv
Maximum Fitness: 629.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 36
lb = 0
ub = 1
t_max = 1000
count = 33
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 0.0
	Maximal = 4.0
	Average = 1.35
	Standard Deviation = 0.9526279441628828
Average Performance = 74.03495440729483%
Runtime:
	Average = 10.978399238586427
	Total = 1097.8399238586426
Optimal = 20/100 (20.0%)
Optimal by Preprocessing = 6/100 (6.0%)
Average Preprocessing = 47.11111111111111%

-----Details-----
100. ID = 11,379,952, Fitness = 0.0000    (Iteration:    2), Runtime = 0.0439 , Preprocessed = 27/36 ( 75.00%), Preprocessed Fitness = 3.0000    , Performance = 100.00%

Seed =
('MT19937', array([2563218529, 3759182030,  822645673,   98228151,   40061849,
       1608882876, 2841663924,  398886552,  277711482, 2243064834,
       2576081549, 1220143217,   94113824, 2649854994,  138868145,
        222851015, 2932803800, 2602048708, 1474536913, 3251631999,
       1488936585, 3349040937, 2745333416, 3513236973, 1125806629,
       3971870300, 1567213036, 3727352941, 4079158593, 3608102587,
        352679734, 1960962937, 1987572240, 2119500123, 2425610996,
       1437509775,  675424272, 1939480039, 3873257467, 3733273042,
       3585516108,  466373864, 3523228743, 2264440426, 1931988438,
       3847153789, 3270098641,  511612262, 1688063080,  795905795,
       3299041732, 1870543369,  915630029, 1737527931,  724697079,
       3128857925, 3044908363, 3788730977, 4047209674, 1839457307,
       4110358571,  819121485, 3019858159,  349300451, 1502365775,
        665546538, 2837816032,  327258923, 1792490654, 3040077084,
       1574918581, 2165315662, 1465476951,  111909517,  488293201,
       1828595893,  156038577, 1953007596,  349955924, 2228926441,
        612999316, 3033892401, 1712569680, 3792570883, 3280144387,
       2516406640, 2767642796,  831631320,  534463069,  974486256,
       2341247082, 1144892220, 1504226421,  339051175, 2748664569,
        680164704, 3425289663,  231653854, 3356632900, 2977116268,
       1854752741, 2596061035,  533113287, 1507525824, 4241660496,
       3570004244, 3962342253,  415722205, 3956022759,  799688422,
       3809809084, 2417341867, 4100679306, 2637705961, 3540789070,
       2552396711, 1767342634, 2890701626,  239752350, 1635515621,
       2343917649, 1298449899, 2797136831,  745916218, 2780547739,
       2090755270,  372673642,  522696874, 3745652639,   55559275,
        724434315, 1526480625, 3088822783, 2265135987, 3857126255,
       1931552204, 1359976014,  786774905, 3972637818, 1022542920,
       1540352193,  824830935, 3395096404,  184874207, 3720498308,
       3663756576, 2297037718,  691913675, 2446116833, 1227382770,
       3407601267, 1232782546, 2648322520, 3167398537,  313770207,
       2111617376, 1141052593,  958258686, 2077863065, 2579482632,
       3407507978, 1712655860, 1408872839, 1538927196, 1193076936,
        906854825,   94569552, 1482609664, 3246689240, 2531058980,
       3606109224, 2541398068,  280429564, 1579903536, 3292331992,
       2402670881,  794183326, 2491111240, 3180162359,  710605639,
       2101820798, 2250596582, 3146968326, 1218586845, 3036540785,
        284422858, 3875672155, 3382932413, 1072775177,  344521726,
       1789442060,  602969050, 2821181791, 3285939870, 1908605289,
       1100414050,  748556580, 4216817488,  397187562, 1370871321,
       4048150522, 3473913015, 2321052202, 1564443767, 1888735998,
        140283235, 3850183152,  743145932, 1913751034, 2667932931,
        988923234, 1998396319, 2729783403,  464415669, 1786962913,
        425393395, 2428694638,  636699090, 1815168423, 2722789227,
       2400068016, 2792307363, 3554903160, 4178737587, 3223235479,
       1617170948, 2669769140,   73743117, 3357077127, 2207990278,
        469899299, 2280649606,  924198385, 3774029019, 3820648445,
       3273482656, 1794496913, 1509636726, 2169075303, 3111884115,
       1912579593,  491780305, 3303714291, 2139773662, 1987038893,
       3514296539, 3223860857, 1348495346, 4189113598,  685258083,
       2412501062,   45198134, 1185378787,  677507104, 1478102703,
       1379547790, 1589326957, 3793437471, 1528683484,  470947727,
       3856908389, 1419350461, 3485283669,  854430160,  863509542,
       1722925705, 1826254967, 1878972614, 2023924556, 3559922754,
       3498459001, 3866807560, 2203773443, 1291880051,  164696514,
       2017390380, 1128484365, 3203062096,  345181244, 2032005176,
       1291921998, 2211569554, 2260508429,  334161820, 3361298782,
       2319962851,  646154559, 2831354558,  470652502, 3493341525,
       1053255705, 2448300196, 3721979880, 2692793447, 1613774252,
       2259251197, 2631013356, 1262693932, 2403556454,  230593766,
       1649460364, 1925327631,  702464771, 1850442141, 2488924055,
       1438696584, 1141696737, 3116726637, 2225478065, 2136945942,
        963398149,  960695775, 1879335006,  562055543, 3346952514,
       2541543347,   32865268, 2800693813, 2038166149, 2792327769,
       1216846924, 3798369807,  662704380, 3311622396, 2304355286,
       2776371238,  725868376,  565879312, 1380472227, 2024758348,
       1128579067, 1414194881, 3796347846, 1186147844,  212775651,
        490412643,  286167182, 1683132667, 1603261356, 2438077995,
