Puzzle: 6 hard
Amount: 100
Result details: ./Result/exploration_with_no_r.csv
Maximum Fitness: 629.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 36
lb = 0
ub = 1
t_max = 1000
count = 33
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 0.0
	Maximal = 3.0
	Average = 1.19
	Standard Deviation = 0.8330066026148893
Average Performance = 77.66717325227965%
Runtime:
	Average = 11.819519526958466
	Total = 1181.9519526958466
Optimal = 21/100 (21.0%)
Optimal by Preprocessing = 6/100 (6.0%)
Average Preprocessing = 47.11111111111111%

-----Details-----
       2056698707, 1482570432, 1769347787, 3561782691, 2620495220,
       2082101588, 1751654805, 1285132854, 4101099380, 2795090791,
         26791397, 2555461950, 4007251036, 3347515689,  370196269,
        388198668, 1160519017, 2689468944, 2446817898,  284013570,
       1846603221, 1622384061, 4145026797, 2227080465,  674126251,
       2961611320,  567647144, 3620524963, 3434124725, 4061764983,
       1279896948, 2380045555, 3367049844,  529959048,  363463191,
       2773371553, 3458016344, 1831917822, 2263542039,  881795104,
       3527903810, 1265389842, 2670229845, 1788093947,  345253649,
       2945610940,  102173482, 3856558577,  840330067, 1528554949,
        726740204, 1470479690, 1031683515,  268913033, 4216271026,
       2862224693, 1370645303,  144656289,  212918989,  389442905,
       4060514307, 3157272542, 1001199248, 3918289571, 3057640954,
