Puzzle: 6 hard
Amount: 100
Result details: ./Result/F_different_for_each_variables.csv
Maximum Fitness: 629.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 36
lb = 0
ub = 1
t_max = 1000
count = 33
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 0.0
	Maximal = 3.0
	Average = 1.03
	Standard Deviation = 0.8179853299418028
Average Performance = 81.44630192502532%
Runtime:
	Average = 10.70938707113266
	Total = 1070.938707113266
Optimal = 28/100 (28.0%)
Optimal by Preprocessing = 6/100 (6.0%)
Average Preprocessing = 47.11111111111111%

-----Details-----
93.  ID = 11,289,923, Fitness = 1.0000    (Iteration: 1000), Runtime = 15.6583, Preprocessed = 5 /36 ( 13.89%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
94.  ID = 11,296,205, Fitness = 1.0000    (Iteration: 1000), Runtime = 14.9670, Preprocessed = 13/36 ( 36.11%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
95.  ID = 11,296,253, Fitness = 1.0000    (Iteration: 1000), Runtime = 12.6063, Preprocessed = 24/36 ( 66.67%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
96.  ID = 11,302,380, Fitness = 1.0000    (Iteration: 1000), Runtime = 14.2873, Preprocessed = 14/36 ( 38.89%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
97.  ID = 11,318,920, Fitness = 0.0000    (Iteration:   26), Runtime = 0.3433 , Preprocessed = 23/36 ( 63.89%), Preprocessed Fitness = 4.0000    , Performance = 100.00%
98.  ID = 11,365,066, Fitness = 0.0000    (Iteration:    3), Runtime = 0.0315 , Preprocessed = 26/36 ( 72.22%), Preprocessed Fitness = 3.0000    , Performance = 100.00%
99.  ID = 11,377,936, Fitness = 1.0000    (Iteration: 1000), Runtime = 15.3344, Preprocessed = 12/36 ( 33.33%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
100. ID = 11,379,952, Fitness = 0.0000    (Iteration:    8), Runtime = 0.0955 , Preprocessed = 27/36 ( 75.00%), Preprocessed Fitness = 3.0000    , Performance = 100.00%

Seed =
('MT19937', array([2776565498, 3778160328, 3791252336, 2461608681, 3108247380,
       2679897174, 1150643394, 3441361550, 3021202928, 2692008720,
        259488524,  771724278, 2303919780,  561424610, 1725854112,
       3245460961, 3173148957, 4202094676, 2621554331,  128500605,
       3103446789, 1746825576, 1409134526, 1953805564,  742016796,
       3947748106, 3683442910, 3069074096, 1046321352,   37206273,
       1626051062, 3637087559, 2221144985, 3849570205, 3102552890,
       1326232166, 3089410236, 3362518876,  686401709, 3073764607,
       2729997741, 3012123324, 1954854300,  228378645,  967719544,
       1253238319, 2647139291, 1736965293, 3457957414, 1521571893,
       3554521617, 2847873554, 3291801187, 2549727945, 3994073093,
       2817044832, 3648045851, 2755681494, 1174694731, 3985048492,
       1937847657,   53911890, 3944422103,  809995168,  332898929,
       2497163968, 3870321789, 3162799911, 2164717715, 1435646479,
       3889543073, 1406714905, 1044961236, 3766782054,  212597268,
       1229701972, 4166666440, 2455041943, 2825757435, 2101202502,
        628762482, 2527183573, 2104969836, 2858838022,  556373114,
        401729120, 2828849622, 2283624852,  859104219, 2302863150,
        375058665,  928863436,  389957175, 3487303678, 2892623481,
       2116275522, 4136595442, 1976131386, 1655080396, 4043163323,
         62949865, 2608825770, 4039110534, 2352193506, 4243034719,
       1150560756, 2855131636,  610086459,  228018162, 2501272714,
        658791515, 4132542819, 3152681741, 4187012534,  860426553,
       2967863891, 1247839717, 2394355627, 3468178893, 2238310678,
        483953606, 3763345546, 2213194743,  907495772, 3265327953,
       1146819389, 3025564555, 3156267604, 1440204445, 1349125416,
       1839189010, 3439723477,  127414994, 3956358153, 1581782205,
       3572734472, 2806808109, 2145817580, 1832956941, 3517370584,
        214730296, 3675989492, 2517740725, 2086041602, 2475405862,
       2140332220, 1354574479,  989312390, 1336686712,  183369476,
       3687926195, 2312464594, 3726470805, 2476067362, 1152879276,
       3511571601, 1173479474, 1475039184, 2198594543, 3196250754,
        155847186, 4169232829, 3649299086, 2332992783, 1491327882,
       2632753663, 1016369205, 3299527560, 2676576589, 3226417616,
       3121198187, 2761271370, 2170623493, 3215415221, 3644461915,
