Puzzle: 6 hard
Amount: 100
Result details: ./Result/F_rand.csv
Maximum Fitness: 629.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 36
lb = 0
ub = 1
t_max = 1000
count = 33
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 0.0
	Maximal = 4.0
	Average = 1.58
	Standard Deviation = 1.1151681487560519
Average Performance = 70.51418439716312%
Runtime:
	Average = 11.929167556762696
	Total = 1192.9167556762695
Optimal = 19/100 (19.0%)
Optimal by Preprocessing = 6/100 (6.0%)
Average Preprocessing = 47.11111111111111%

-----Details-----
       1103691645,   98319397, 3211473659, 2774639405,  176776683,
       3753259194, 1583967431,  276390728, 2083605090, 3877064404,
       3176759580, 3829481687,  487121474,  499062289,  347323059,
       3669004318, 1937884067, 3399635393, 1831381882, 3283985558,
       3981107535, 1662944861, 1599442014,  731295716,  765610623,
       1247810403, 1527505896, 2286714314, 3265047770, 2678593848,
       2936612997, 1297046030, 2479212625,  282974803, 2763421938,
       2097928809,  646526448, 3586900041, 2624087335,  416757365,
       1883789505, 2288964607, 1728687838, 1969830459, 1902357634,
       2725086410,  547097075,  126574212, 2539860802, 3692471428,
       1776593036, 3232995220, 1284815967, 1551719162, 1091942049,
       2631323466, 3030144318, 2684219485, 3542402222, 2332902639,
       3014996100, 3778694308, 2666516933, 1766461660, 1242155312,
       1430154466, 3657736749, 3146821279, 3642274827, 2773706885,
       3066987818,  924488518, 4254389238, 1714926392, 3312843720,
       4004392428, 4263970961, 3092538412, 2551464089, 1483606821,
        885304718, 3297401966, 3699539290, 2986175790, 3201089709,
       2082001968, 3884289098, 3475279522, 2263309329, 3320512872,
       3915458027, 1828284128, 4242303700, 1950314417, 2417386609,
       1673950484, 3030895145, 2140944353, 1294615416, 2873716902,
       3078200678, 4254306524, 1964286378, 3911260545, 2039869370,
       1165470613, 1927777921, 2976155409,  661758625,  986783298,
       1484128692, 2984195795, 2100469121, 2354962801,  602883509,
       1235029229, 1947639776, 2268886231, 1503163842, 4160287970,
       2554125620, 1437294101,  384153693, 2824451210,  238904390,
       4101171699, 2536338938, 2091420298,  807678189,  146228045,
       2393317148, 3084029830, 3513634672, 1826527310, 3300800889,
        617967810, 1262111881,  170170481, 3724879785, 1045345589,
       2831359301, 3996298295, 1212439749,  934632776,  197570257,
       3695859777, 3407445488,  649127830, 4291275520, 1038960984,
       3753283836, 1010630914, 1378927537,  871299527, 3639430050,
       1961497014,  477104455,  295267731,   43354702, 2167141856,
       2530828662, 4123044368, 1801671063, 2597496110, 1567102908,
       1184316871,   39913148,  359279254, 1618497000, 1891338205,
       3391620535,  233148753, 2627196108, 3899040568, 2676721055,
       4219917736, 3394281910, 1535605046, 2651440535, 1772814897,
        625093205, 2694732414, 1523682116, 3139705544, 2615443242,
       3504265327, 2305055463, 1444078551, 1726756839, 2477785914,
       4226224945, 1739636341,  944272208, 1532961523, 2864000779,
       1904302989, 4004715251, 1038845156, 1474248861,  194375109,
        495490225,  233861545, 3822239108, 2328763551, 2748289401,
       1681284619, 1120599853, 3576042009, 1536634616, 2214623286,
       3777651108, 3560807133,  240399332, 1001240322,  760048908,
        111384923, 2314770006, 1507308463, 2459283866, 3558401655,
       3659148796, 4149201696, 3027397657, 1382126202, 2614633076,
       2988382754,   30767215,  285157363, 1153878327, 2930626496,
       1880838872, 4258168175,  295647160, 4156997977, 2845308097,
        239254635, 4205299970, 1315426245, 4287255445, 2184894967,
       2741666416, 2582471121,  814967555,  673958007,  371629360,
        737880822, 1959780655, 1546402163, 2012796581, 1859426650,
       4155709334,  915645485,  424298830, 1367659210, 2311790027,
       1572295423, 3805021984,  886221934, 2686466682, 1921759864,
        710260774, 3346330470,  655792168, 2824123819, 1987007718,
        940396737, 1175352350, 1346934479,  891205282, 1280416686,
